codigo,descricao,etapa,categoria,objeto_conhecimento
EI03CO01,"Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos.",EI,Pensamento Computacional,
EI03CO02,Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,EI,Pensamento Computacional,
EI03CO03,Experienciar a execução de algoritmos brincando com objetos (des)plugados.,EI,Pensamento Computacional,
EI03CO04,Criar e representar algoritmos para resolver problemas.,EI,Pensamento Computacional,
EI03CO05,Comparar soluções algorítmicas para resolver um mesmo problema.,EI,Pensamento Computacional,
EI03CO06,Compreender decisões em dois estados (verdadeiro ou falso).,EI,Pensamento Computacional,
EI03CO07,"Reconhecer dispositivos eletrônicos (e não-eletrônicos), identificando quando estão ligados ou desligados (abertos ou fechados).",EI,Mundo Digital,
EI03CO08,Compreender o conceito de interfaces para comunicação com objetos (des)plugados.,EI,Mundo Digital,
EI03CO09,Identificar dispositivos computacionais e as diferentes formas de interação.,EI,Mundo Digital,
EI03CO10,"Utilizar tecnologia digital de maneira segura, consciente e respeitosa.",EI,Cultura Digital,
EI03CO11,"Adotar hábitos saudáveis de uso de artefatos computacionais, seguindo recomendações de órgãos de saúde competentes.",EI,Cultura Digital,
EF01CO01,"Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças.",EF01,Pensamento Computacional,Organização de objetos
EF01CO02,Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.,EF01,Pensamento Computacional,Conceituação de Algoritmos
EF01CO03,"Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra 'Algoritmos'.",EF01,Pensamento Computacional,Conceituação de Algoritmos
EF01CO04,"Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens.",EF01,Mundo Digital,Codificação da informação
EF01CO05,Representar informação usando diferentes codificações.,EF01,Mundo Digital,Codificação da informação
EF01CO06,Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,EF01,Cultura Digital,Uso de artefatos computacionais
EF01CO07,Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,EF01,Cultura Digital,Segurança e responsabilidade no uso de tecnologia computacional
EF02CO01,"Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",EF02,Pensamento Computacional,Modelagem de objetos
EF02CO02,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, construídos como sequências com repetições simples (iterações definidas) com base em instruções preestabelecidas ou criadas, analisando como a precisão da instrução impacta na execução do algoritmo.",EF02,Pensamento Computacional,Algoritmos com repetições simples
EF02CO03,Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.,EF02,Mundo Digital,Instrução de máquina
EF02CO04,Diferenciar componentes físicos (hardware) e programas que fornecem as instruções (software) para o hardware.,EF02,Mundo Digital,Hardware e software
EF02CO05,Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,EF02,Cultura Digital,Uso de artefatos computacionais
EF02CO06,Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.,EF02,Cultura Digital,Segurança e responsabilidade no uso de tecnologia computacional
EF03CO01,"Associar os valores 'verdadeiro' e 'falso' a sentenças lógicas que dizem respeito a situações do dia a dia, fazendo uso de termos que indicam negação.",EF03,Pensamento Computacional,Lógica computacional
EF03CO02,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples com condição (iterações indefinidas), para resolver problemas de forma independente e em colaboração.",EF03,Pensamento Computacional,Algoritmos com repetições condicionais simples
EF03CO03,"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções.",EF03,Pensamento Computacional,Decomposição
EF03CO04,Relacionar o conceito de informação com o de dado.,EF03,Mundo Digital,Codificação da informação
